,0
0,By submitting this pull request_ I confirm that you can use_ modify_ copy_ and redistribute this contribution_ under the terms of your choice.
1,"Pulled in changes from 1.27.31 to 1.27.34

https://github.com/boto/botocore/compare/1.29.30..1.29.34"
2,"Pulled in changes from 1.27.35

https://github.com/boto/botocore/compare/1.29.34..1.29.35"
3,"Pulled in changes from 1.27.37

https://github.com/boto/botocore/compare/1.29.36..1.29.37"
5," 
I got the below output for the above command
 
But still I am facing the same issue while upload."
6,So_ I have tried the below command to check whether the credentials configure or not.
7," 
But I got the below."
8,"As per the below table I suspect the credential is not configured properly

!"
9,"[image](https://user images.githubusercontent.com/16695209/209459368 ec5a59be ee0a 4b95 be88 c492b81ce906.png)

Could you please check this issue and provide the solution to upload the single file in AWS?"
11,macOS 12
13,This output can be evaled into the running shell and used by further runs of many tools.
15,aws cli should just properly implement that itself.
17,Debian Unstable
19,The API to do that is sadly not a standard AWS API.
20,The [AWS documentation](https://docs.aws.amazon.com/IAM/latest/UserGuide/example_sts_Scenario_ConstructFederatedUrl_section.html) just circulates a Python script to do that.
22,Going from access key to console log is supported_ but only using unrelated scripts.
25,Debian Unstable
28,The Tasks started by Code Pipeline also should be successfully placed.
30,"The closest matching container instance <my instance> is missing an attribute required by your task. I tried running
   but it returns ""None"" for missing attributes."
31,Since I am running Blue/Green deployment I decided to try to update the Tasks with Code Pipeline_ but after building the container the Deployment gets stuck   the newly created Task is in state PROVISIONING_ more EC2 instances get spawned by my  ASG but the Task never gets deployed.
32,"When I do
 I get 
 which make me think that there is a bug somewhere in  enable execute command for Blue/Green Deployments."
33,The moment I turn back enableExecuteCommand to false in my Service the Tasks (in both cases I describe) get immediately placed on the cluster.
34,"I also tried running this tool [amazon ecs exec checker](https://github.com/aws containers/amazon ecs exec checker) but everything else but ""Exec Enabled for Task"" is green."
35,I also tried manually to compare the attributes required by my Task Definition and the ones I have on my Container Instance and everything seems to be present.
